city,agri_region,crop,crop_role_hint,area_ha,as_of_year,source_provinces_summed,source
Hanoi,Red River Delta,rice,primary,152900,2024,Hà Nội (giu nguyen),"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Hanoi,Red River Delta,maize,secondary,12100,2024,Hà Nội (giu nguyen),"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Hanoi,Red River Delta,groundnut,secondary,2063,2024,Hà Nội (giu nguyen),"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Hanoi,Red River Delta,sweet_potato,secondary,1306,2024,Hà Nội (giu nguyen),"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Hanoi,Red River Delta,cassava,secondary,525,2024,Hà Nội (giu nguyen),"NGTK 2024, bảng 230 ""Diện tích gieo trồng sắn phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Hanoi,Red River Delta,sugarcane,secondary,8,2024,Hà Nội (giu nguyen),"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Hanoi,Red River Delta,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Hai Phong,Red River Delta,rice,primary,163200,2024,Hải Phòng + Hải Dương,"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Hai Phong,Red River Delta,maize,secondary,4300,2024,Hải Phòng + Hải Dương,"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Hai Phong,Red River Delta,sweet_potato,secondary,1474,2024,Hải Phòng + Hải Dương,"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Hai Phong,Red River Delta,groundnut,secondary,988,2024,Hải Phòng + Hải Dương,"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Hai Phong,Red River Delta,sugarcane,secondary,75,2024,Hải Phòng + Hải Dương,"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Hai Phong,Red River Delta,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Hue,North Central Coast,rice,primary,53500,2024,Huế (giu nguyen),"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Hue,North Central Coast,cassava,secondary,3722,2024,Huế (giu nguyen),"NGTK 2024, bảng 230 ""Diện tích gieo trồng sắn phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Hue,North Central Coast,groundnut,secondary,2292,2024,Huế (giu nguyen),"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Hue,North Central Coast,maize,secondary,1500,2024,Huế (giu nguyen),"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Hue,North Central Coast,sweet_potato,secondary,629,2024,Huế (giu nguyen),"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Hue,North Central Coast,sugarcane,secondary,137,2024,Huế (giu nguyen),"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Hue,North Central Coast,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Da Nang,South Central Coast,rice,primary,87600,2024,Đà Nẵng + Quảng Nam,"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Da Nang,South Central Coast,maize,secondary,11800,2024,Đà Nẵng + Quảng Nam,"NGTK 2024, bảng 225 ""Diện tích gieo trồng ngô phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
Da Nang,South Central Coast,groundnut,secondary,9745,2024,Đà Nẵng + Quảng Nam,"NGTK 2024, bảng 234 ""Diện tích gieo trồng lạc phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Da Nang,South Central Coast,cassava,secondary,8542,2024,Quảng Nam,"NGTK 2024, bảng 230 ""Diện tích gieo trồng sắn phân theo địa phương"" (cột 2024 Sơ bộ, ha) [bảng ""trong đó"": tỉnh cũ không liệt kê coi như 0]"
Da Nang,South Central Coast,sweet_potato,secondary,1957,2024,Đà Nẵng + Quảng Nam,"NGTK 2024, bảng 228 ""Diện tích gieo trồng khoai lang phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Da Nang,South Central Coast,sugarcane,secondary,432,2024,Đà Nẵng + Quảng Nam,"NGTK 2024, bảng 232 ""Diện tích gieo trồng mía phân theo địa phương"" (cột 2024 Sơ bộ, ha)"
Da Nang,South Central Coast,vegetable,secondary,,,,Rau KHÔNG có bảng diện tích theo tỉnh trong NGTK 2024 -> area_ha NULL; giữ làm cây phụ (trồng phổ biến toàn quốc; thương phẩm tập trung Lâm Đồng/ven đô).
Ho Chi Minh City,Southeast,rice,primary,46800,2024,TP. Hồ Chí Minh + Bình Dương + Bà Rịa - Vũng Tàu,"NGTK 2024, bảng 213 ""Diện tích gieo trồng lúa cả năm phân theo địa phương"" (cột 2024 Sơ bộ, nghìn ha)"
